150,11,oc,av_p,av_k,av_s,av_zn,av_b,av_fe,av_cu,av_mn,target
8.2,0.62,0.59,2.5,41,11.6,1.32,0.26,5.82,0.32,2.92,0
8.2,0.41,0.49,1.9,36,6.6,1.56,1.08,6.13,0.66,1.87,0
8,0.75,0.44,1.6,36,8.4,1.02,0.15,6.03,0.28,5.27,0
8,0.68,0.42,1.2,41,8.4,0.87,0.36,3.23,0.89,1.54,0
6.8,0.35,0.62,2.5,31,8.4,0.82,0.35,12.16,0.67,4.08,0
7.4,0.26,0.5,2.8,25,19.2,1.31,0.32,3.26,1.04,2.37,0
7.1,0.31,0.44,4.6,25,6.6,1.04,0.34,6.15,2.08,3.79,0
7.2,0.28,0.49,3.5,27,19.2,0.68,3.56,4.69,1.56,2.2,0
7.4,0.19,0.51,2.8,24,8.4,0.52,0.42,9.53,1.52,1.71,0
7.2,0.35,0.27,2.7,24,18.7,0.54,0.41,3.36,0.93,1.89,0
7.4,0.28,0.65,2.5,26,8.4,0.75,0.24,5.24,0.78,4.13,0
7.4,0.39,0.3,3,21,11.6,0.77,0.48,2.56,0.63,1.78,0
7.3,0.23,0.6,2.1,29,8.4,0.71,0.49,12.68,1.09,1.64,0
6.4,0.35,0.76,2.5,25,19.2,0.75,0.55,6.66,0.45,2.31,0
7,0.39,0.32,2.8,27,6.6,0.77,0.32,7.86,0.71,2.21,0
7.2,0.23,0.43,1.8,44,4.2,0.75,0.21,6.31,0.62,5.41,0
6.4,0.16,0.25,2.7,24,15.2,0.78,0.56,5.58,0.78,4.08,0
7.3,0.28,0.42,2.7,29,8.4,0.62,0.37,2.16,1.22,2.11,0
6.3,0.41,0.24,2.5,29,8.4,0.7,0.18,6.66,0.64,3.79,0
7.2,0.27,0.51,2.8,34,7,0.76,0.47,4.58,2.12,2.2,0
6.7,0.29,0.44,3.2,74,4.7,0.94,0.33,7.86,1.32,2.58,0
6.9,0.24,0.47,4.9,59,5.9,0.75,0.26,5.88,0.55,9.25,0
6.7,0.16,0.8,4.6,74,19.2,0.7,0.29,7.85,1.54,8.45,0
7.3,0.34,0.51,6,55,19.8,1.63,0.27,7.22,0.94,8.59,0
6.8,0.29,0.67,6.1,59,19.2,1.14,0.39,6.35,0.72,3.65,0
7,0.25,0.34,5.9,74,15.2,0.53,0.57,6.25,1.16,3.48,0
7.9,0.56,0.84,5.7,74,4.3,0.76,0.58,4.12,0.89,1.31,0
7.9,0.26,0.65,2.1,74,19.5,0.79,0.48,6.37,0.74,12.23,0
7.8,0.19,0.62,2.1,74,8.4,0.69,0.32,10.39,0.65,1.72,0
7.1,0.48,0.75,2.3,59,8.4,0.68,0.42,4.89,1.76,3.01,0
6.7,0.16,0.4,5.7,70,5.9,0.75,0.56,6.66,1.52,12.64,0
